1
2
16,20,161,1,54,0,1,1,0,400,0,40
8,11,54,0,3,1,1,1,0,180,0,0
8,12,54,0,3,1,1,1,0,180,0,0
9,4,54,8,3,1,1,2,0,180,0,0
9,12,54,0,3,1,1,1,0,180,0,0
10,3,54,8,3,1,1,3,0,180,0,0
10,5,54,8,3,1,1,2,0,180,0,0
11,4,54,12,3,1,1,3,0,180,0,0
11,6,54,12,3,1,1,2,0,180,0,0
12,4,70,12,3,1,1,3,0,230,0,0
12,5,54,12,3,1,1,3,0,180,0,0
12,8,42,0,2,1,1,1,0,345,0,0
13,2,86,12,2,1,1,4,0,420,0,0
13,9,43,0,2,1,1,1,0,350,0,0
13,17,126,1,6,0,1,1,0,320,0,40
13,19,2,1,8,0,1,1,0,310,0,50
14,18,29,1,7,0,1,1,0,360,0,50
15,17,34,1,15,0,1,1,0,280,0,70
15,19,35,1,17,0,1,1,0,290,0,40
