16,28
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,7,7,7,7,7,7,7,7,7,
5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,
7,7,7,7,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,6,7,7,7,7,
7,7,7,7,7,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,6,7,7,
7,7,1,9,1,7,7,1,1,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,6,7,
1,1,1,1,2,1,1,1,1,1,1,1,1,5,5,5,5,5,5,1,2,1,1,1,1,1,1,7,
1,1,1,1,7,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,9,1,7,
7,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,1,7,7,1,1,1,1,1,
1,1,7,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,7,7,7,1,1,1,1,4,4,
1,1,1,1,1,1,6,7,1,1,7,1,1,5,5,5,5,1,1,1,7,1,4,4,1,4,4,1,
1,1,7,7,7,7,7,1,10,1,1,1,1,5,5,1,1,1,1,1,4,4,4,4,4,4,1,1,
1,7,7,7,6,1,1,7,7,7,1,1,5,5,1,1,1,1,1,4,4,4,4,1,1,7,7,7,
7,7,7,7,5,5,5,5,5,7,7,5,5,1,1,1,1,1,1,1,4,4,4,4,1,7,7,1,
7,7,7,7,7,5,5,5,7,7,1,5,1,1,1,1,1,1,1,4,4,4,4,4,1,1,6,7,
7,7,7,7,5,5,5,7,7,1,1,5,1,1,1,1,1,4,4,4,4,4,4,1,7,1,1,1,
7,7,7,7,7,7,6,1,7,1,1,5,1,1,1,4,4,4,4,4,4,4,1,1,1,1,1,6,
