24,24
4,4,4,1,7,1,1,4,4,4,4,1,1,8,5,5,5,5,5,5,5,8,8,1,
4,4,4,4,4,1,1,7,4,4,4,4,1,8,8,5,5,5,5,5,8,8,1,1,
4,12,13,4,1,7,1,1,7,4,4,4,1,1,8,7,9,7,7,8,8,2,2,1,
4,14,15,1,1,1,1,7,7,1,4,4,1,1,1,1,7,7,1,1,1,1,1,1,
4,4,4,1,1,1,1,1,1,7,1,4,4,1,1,1,1,1,1,1,1,1,1,2,
7,4,4,7,1,1,1,1,1,2,2,4,4,1,1,1,1,1,1,2,2,1,1,1,
1,7,4,1,1,1,1,7,1,1,1,6,4,1,1,1,7,2,1,1,1,1,2,1,
1,7,4,1,7,1,1,1,1,1,6,6,1,1,1,1,1,1,1,7,1,1,1,1,
1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,
5,5,5,5,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,
5,5,5,5,5,5,5,5,5,5,1,7,1,1,7,2,1,1,1,1,1,1,6,6,
4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,6,6,6,
4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,1,7,1,1,1,6,6,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,1,1,1,1,6,6,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,1,1,1,
1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,1,1,
1,1,1,1,1,7,7,7,1,1,1,4,4,4,4,4,4,4,1,1,5,5,5,5,
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,5,5,5,
1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,7,1,1,1,1,1,4,4,4,4,4,4,7,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,7,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,6,
1,1,1,1,1,1,1,1,1,4,4,4,4,4,2,2,1,1,7,1,1,1,6,6,
1,1,1,1,1,1,1,7,1,4,4,4,4,4,2,2,2,1,1,1,1,1,7,6,
1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,2,1,1,6,6,6,6,
