20,20
11,11,11,9,9,9,9,11,2,2,2,2,9,9,9,9,9,9,9,11,
11,11,9,2,2,2,2,11,1,1,1,1,2,2,2,2,2,2,2,11,
11,9,2,1,1,3,1,11,1,3,1,1,1,1,1,1,1,1,1,11,
11,2,1,1,11,1,1,11,1,1,1,1,3,1,1,1,1,1,1,11,
11,1,1,1,11,1,1,8,8,8,8,8,8,8,8,8,1,1,1,11,
11,1,1,1,11,1,3,2,2,2,2,2,2,2,2,2,1,3,1,11,
11,3,1,1,11,1,1,1,1,1,1,1,1,1,1,3,1,1,1,11,
11,3,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,
11,3,3,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,3,3,1,11,11,8,8,8,8,8,8,8,8,8,8,8,8,8,11,
11,3,3,1,11,8,2,2,2,2,2,2,2,2,2,2,2,2,2,11,
11,3,1,1,11,2,1,1,1,1,11,11,11,11,11,11,1,1,1,11,
9,1,1,1,11,1,1,1,1,1,11,11,9,9,9,9,1,3,1,11,
2,1,1,1,11,11,1,1,1,11,11,11,2,2,2,2,3,3,3,11,
1,1,1,1,11,11,11,11,11,11,11,11,1,1,1,1,1,3,3,11,
1,1,1,1,8,8,8,8,8,8,8,8,1,1,11,11,11,1,3,11,
11,1,1,1,2,2,2,2,2,2,2,2,1,1,8,8,8,1,1,11,
11,1,1,3,3,3,1,1,1,1,1,1,3,1,2,2,2,3,1,11,
11,3,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,11,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
