15,32
8,8,8,8,8,4,4,4,3,3,3,3,3,3,3,3,3,3,3,1,1,8,8,8,8,8,1,1,1,7,7,1,
8,8,8,8,4,4,4,4,4,3,3,3,3,3,3,3,3,3,1,1,8,8,8,8,8,8,8,1,1,9,7,1,
8,8,8,8,8,4,4,4,4,8,8,8,3,8,8,8,8,8,1,1,1,1,8,8,8,8,8,1,1,1,1,1,
8,8,8,8,8,8,4,4,8,8,8,8,8,1,1,1,1,1,1,4,4,4,8,8,8,8,8,8,8,1,1,1,
8,8,8,8,8,1,1,4,4,4,4,1,1,1,1,1,1,1,1,6,4,4,4,4,4,1,8,8,8,8,8,8,
8,8,8,8,8,8,1,1,1,4,4,4,1,1,1,1,1,6,6,6,6,4,4,4,4,1,1,1,8,8,8,8,
8,8,8,8,1,1,1,1,1,1,4,4,1,1,1,1,6,6,1,1,1,1,4,4,7,7,7,1,1,8,8,8,
8,8,8,8,8,1,1,1,1,7,4,4,4,8,8,1,1,1,1,8,8,8,4,4,4,7,7,1,1,8,8,8,
8,1,1,8,8,8,1,1,1,9,7,4,4,3,8,8,8,8,8,8,8,8,4,4,4,4,4,4,2,1,8,8,
1,1,1,4,8,8,8,1,1,7,1,4,4,3,3,8,8,8,8,8,8,8,8,4,4,4,4,4,4,1,8,8,
1,1,1,4,4,8,8,8,1,1,4,4,3,3,3,3,8,8,8,8,8,8,8,8,1,1,4,4,4,4,8,8,
1,1,1,4,4,4,8,8,1,4,4,4,4,3,3,8,8,8,8,8,8,1,1,1,1,1,1,4,4,1,1,8,
1,1,1,1,4,4,8,8,8,1,1,4,4,4,3,8,8,8,8,8,1,1,1,1,1,1,4,4,4,4,4,8,
1,1,1,1,4,4,8,8,8,8,10,1,3,3,3,8,8,1,6,1,1,4,4,1,1,4,4,4,4,4,4,4,
1,1,1,1,1,4,4,4,8,8,1,1,1,3,3,1,6,1,1,1,7,4,4,4,1,1,4,4,4,4,4,8,
