30,28
4,4,4,4,4,1,1,1,7,1,1,1,1,7,1,1,1,4,4,4,1,4,4,4,4,4,4,4,
4,4,4,1,1,1,1,1,1,12,13,1,1,2,1,1,2,1,4,4,4,4,1,4,4,4,4,4,
4,1,1,1,1,1,1,1,1,14,15,1,1,1,1,1,1,1,1,7,7,7,1,1,4,4,4,4,
1,1,1,1,1,1,1,1,1,7,1,1,7,7,7,1,1,4,1,1,4,1,4,4,4,4,4,4,
8,8,8,8,8,1,1,1,1,1,1,7,1,1,7,7,1,1,1,2,7,4,4,4,4,4,4,4,
5,5,5,5,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,4,4,4,4,4,
1,1,1,5,5,8,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,9,4,4,4,4,4,4,
5,5,5,5,5,8,8,8,3,3,1,1,7,1,1,1,1,1,1,1,2,2,7,4,4,4,4,4,
5,5,5,5,5,5,8,8,3,3,1,1,1,1,2,1,1,1,1,6,1,1,6,4,4,4,4,4,
5,5,5,5,5,5,5,8,8,3,6,1,1,1,1,1,1,1,6,6,6,1,1,6,4,4,4,4,
7,7,5,5,5,5,5,5,8,8,1,1,1,1,2,1,1,5,5,5,6,1,2,2,6,6,6,6,
5,7,7,7,5,5,5,5,5,8,1,2,1,1,1,5,1,5,5,5,5,1,1,2,2,1,6,6,
5,5,5,5,5,5,5,5,5,5,1,1,7,1,1,5,1,1,1,1,5,5,5,2,2,1,1,2,
7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,
1,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,4,4,4,4,
1,1,7,7,1,1,5,5,5,5,5,5,5,5,5,5,5,5,8,8,1,1,1,6,1,4,4,4,
7,1,1,1,6,1,5,5,5,5,5,5,5,5,5,5,8,8,8,1,1,1,1,1,1,4,4,4,
1,1,2,1,1,7,1,1,5,5,5,5,5,5,1,9,1,1,1,1,1,1,1,1,7,1,4,4,
1,1,1,7,1,1,1,1,1,5,5,5,5,5,5,1,1,7,1,1,7,1,1,1,1,1,4,4,
2,2,1,1,1,7,1,1,1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,4,
1,1,2,1,1,1,7,1,1,1,5,5,5,5,5,5,1,1,7,1,6,1,7,1,1,1,1,4,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,1,1,6,
1,1,1,1,2,1,1,1,1,1,5,5,5,5,5,5,1,1,2,1,7,7,7,7,1,7,7,6,
7,1,1,1,2,1,1,1,1,1,5,5,5,5,5,5,6,1,1,7,7,7,7,1,1,7,7,6,
7,7,1,6,1,1,1,1,1,5,5,5,5,5,5,5,5,1,6,6,7,7,5,1,1,1,1,6,
7,7,1,1,1,7,7,1,1,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,1,1,1,1,
7,1,5,1,7,7,1,1,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,1,1,1,7,
1,5,5,1,1,7,7,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,7,7,5,
5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
