32,25
11,11,11,11,11,11,11,11,11,11,11,9,9,9,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,11,11,11,11,11,9,2,2,2,9,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,11,11,11,11,9,2,1,1,1,2,9,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,11,11,11,9,2,1,1,1,1,1,2,9,11,11,11,11,11,11,11,11,
11,11,9,9,9,9,9,11,2,1,1,1,1,1,1,1,2,11,9,9,9,9,9,11,11,
11,11,2,2,2,2,2,9,1,1,1,1,1,1,1,1,1,9,2,2,2,2,2,11,11,
11,11,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,11,11,
11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,
11,11,1,1,1,11,11,11,9,9,11,9,9,9,11,9,9,11,11,11,1,1,1,11,11,
11,11,1,1,1,11,11,9,2,2,9,2,2,2,9,2,2,9,11,11,1,1,1,11,11,
11,11,1,1,1,11,9,2,1,1,2,1,1,1,2,1,1,2,9,11,1,1,1,11,11,
11,11,1,1,1,11,2,1,1,1,1,1,1,1,1,1,1,1,2,11,1,1,1,11,11,
11,11,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,11,11,
11,9,1,1,1,2,1,11,1,1,1,1,1,1,1,1,1,11,1,2,1,1,1,9,11,
11,2,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,2,11,
11,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,11,
11,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,11,
11,1,1,1,1,11,11,1,1,1,1,1,1,1,1,1,1,1,11,11,1,1,1,1,11,
11,11,1,1,1,9,9,9,9,11,1,1,1,1,1,11,9,9,9,9,1,1,1,11,11,
11,11,11,1,1,2,2,2,2,9,11,1,1,1,11,9,2,2,2,2,1,1,11,11,11,
11,11,11,11,1,1,1,1,1,2,11,1,1,1,11,2,1,1,1,1,1,11,11,11,11,
11,11,11,11,11,1,1,1,1,1,11,1,1,1,11,1,1,1,1,1,11,11,11,11,11,
11,9,9,9,9,9,9,11,1,1,11,1,1,1,11,1,1,11,9,9,9,9,9,9,11,
11,2,2,2,2,2,2,11,1,1,11,1,1,1,11,1,1,11,2,2,2,2,2,2,11,
11,1,1,1,1,1,1,11,1,1,11,1,1,1,11,1,1,11,1,1,1,1,1,1,11,
11,1,1,9,9,9,9,9,1,1,9,1,1,1,9,9,9,9,1,1,1,1,1,11,11,
11,1,1,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,1,1,1,1,11,11,11,
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,
11,1,1,9,9,9,9,11,1,1,11,1,1,1,11,1,1,1,1,1,11,11,11,11,11,
11,1,1,2,2,2,2,11,1,1,11,1,1,1,11,1,1,1,1,11,11,11,11,11,11,
11,1,1,1,1,1,1,11,1,1,11,1,1,1,11,1,1,1,11,11,11,11,11,11,11,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
