26,26
1,2,6,7,1,1,1,2,1,1,1,2,1,1,1,2,2,11,1,1,1,2,2,1,1,1,
2,1,2,2,2,1,1,2,1,1,1,1,2,2,1,1,11,11,2,2,1,1,9,2,1,1,
1,1,1,1,1,2,2,1,1,1,2,1,1,1,6,1,2,11,11,2,6,1,2,1,11,11,
1,7,2,6,1,1,1,1,2,1,1,1,1,7,1,2,1,1,11,1,1,1,11,11,11,1,
2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,7,1,
1,2,1,1,2,1,1,2,1,12,12,12,12,12,12,12,12,1,1,1,1,1,1,1,2,1,
2,2,1,1,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1,
1,1,12,12,13,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,1,1,
12,12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,
12,12,12,12,12,12,12,8,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,13,12,12,
12,12,12,8,12,13,12,12,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,12,12,13,12,12,13,
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,12,8,12,12,
12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
12,12,13,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,12,12,12,13,
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,3,3,12,12,12,12,8,12,
12,12,12,13,12,3,12,12,12,12,8,8,12,12,12,12,12,12,12,12,12,8,12,12,12,3,
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,13,13,12,12,
12,12,12,12,12,12,3,13,12,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
12,3,3,12,12,12,12,12,12,12,12,12,8,12,12,12,12,12,12,12,12,12,12,12,12,12,
12,13,13,12,12,12,12,12,12,12,12,12,8,12,12,12,12,12,8,13,12,12,12,12,8,12,
12,12,13,13,12,12,12,12,3,3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,
12,12,3,12,12,13,12,12,12,13,13,12,12,12,12,12,8,12,12,8,12,12,8,5,12,8,
12,3,3,3,12,12,12,3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
3,3,3,3,13,12,12,12,12,12,12,12,3,3,12,12,12,8,12,12,8,8,8,12,8,12,
