30,20
4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4,4,4,4,4,2,2,1,1,1,1,1,1,1,1,6,1,1,1,1,
4,4,4,4,4,1,1,10,1,1,1,1,1,1,1,1,1,2,1,1,
4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4,4,4,4,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,
4,4,4,4,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,
4,4,4,4,1,1,1,1,2,2,1,1,1,1,1,1,6,1,2,1,
4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,6,6,1,2,2,
1,4,4,4,4,4,4,1,1,2,1,1,1,2,1,1,6,6,2,2,
6,1,4,4,4,4,4,1,1,1,4,4,1,1,1,1,1,6,2,2,
1,6,1,4,4,4,4,6,6,6,6,4,4,1,1,1,1,2,2,2,
1,9,1,1,4,4,4,4,6,6,6,4,4,4,1,1,1,2,2,2,
1,1,6,4,4,4,4,6,6,6,6,4,4,4,1,1,1,2,2,2,
1,6,6,4,4,4,4,4,4,6,4,4,4,1,1,1,2,2,2,2,
1,6,1,1,4,4,4,1,4,4,4,1,4,4,4,1,1,1,4,4,
1,1,1,4,4,4,1,6,1,1,1,4,4,4,1,1,1,4,4,4,
1,1,4,4,4,1,1,1,12,13,1,1,4,4,4,1,1,4,4,4,
5,5,5,4,4,4,1,1,14,15,1,6,1,1,4,1,1,4,4,4,
5,5,5,5,4,4,4,6,1,1,1,1,4,4,4,1,1,4,4,6,
5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,1,1,6,6,6,
5,5,5,5,5,8,8,4,4,4,4,4,4,1,1,1,1,6,6,6,
5,5,5,5,8,8,1,1,6,6,6,6,1,1,1,1,1,1,6,6,
5,5,5,8,8,8,1,6,1,6,6,6,1,1,1,1,6,1,3,3,
5,5,5,8,8,8,1,1,1,1,1,1,6,1,1,1,1,1,3,3,
5,5,5,5,8,8,8,1,1,6,1,1,1,1,1,1,1,3,3,3,
5,5,5,5,5,8,8,1,1,1,1,1,1,1,1,3,3,3,3,1,
5,5,5,5,5,5,8,8,1,1,1,1,1,1,6,3,3,3,3,1,
5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,3,3,3,1,
5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,3,3,3,1,
5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,3,3,3,1,1,
