20,16
4,1,1,4,4,7,7,7,2,4,4,4,4,4,4,4,
4,1,2,1,4,7,7,1,1,1,1,12,13,4,4,4,
4,2,2,7,2,2,1,1,1,1,2,14,15,4,4,4,
4,4,2,1,1,1,1,1,1,1,1,3,3,4,4,4,
4,7,2,1,1,1,1,1,1,1,1,2,3,3,4,4,
6,7,7,2,1,1,1,1,1,1,1,1,2,3,4,4,
6,7,6,2,1,1,7,1,1,1,1,3,3,3,3,3,
6,6,6,2,2,4,4,1,1,1,1,1,3,3,8,8,
6,7,7,7,1,7,4,4,4,4,4,1,1,4,4,8,
7,7,7,2,2,1,1,4,4,4,4,4,1,1,4,8,
4,7,2,1,1,1,1,2,4,4,4,4,4,4,4,4,
4,4,2,1,1,9,1,1,1,2,2,4,4,4,4,4,
4,4,4,4,1,2,4,4,1,1,10,2,4,4,4,4,
5,4,4,4,4,4,4,4,4,1,1,1,2,4,4,2,
5,5,4,4,4,4,1,1,1,1,1,2,2,4,2,2,
5,5,5,8,1,1,1,1,1,1,1,1,6,2,2,1,
5,5,5,8,8,1,1,1,1,1,1,1,1,1,2,1,
5,5,5,5,8,1,1,1,7,1,1,1,1,1,1,1,
5,5,5,5,8,8,8,1,1,1,1,6,1,2,6,1,
5,5,5,5,5,5,8,1,1,1,1,1,1,1,6,6,
