30,22
6,6,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,
7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
6,1,1,1,2,1,12,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,
1,7,1,1,1,13,8,12,1,2,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,12,3,12,5,13,12,12,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,13,12,12,1,1,1,1,1,1,1,7,1,1,1,1,1,1,
1,9,1,1,1,1,12,1,1,1,11,11,11,11,1,1,1,1,1,1,1,1,
1,1,1,6,1,1,6,7,1,1,1,1,11,11,11,11,11,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,2,1,6,6,1,11,11,11,11,11,1,1,
1,1,1,1,1,1,1,1,1,1,1,6,7,1,1,1,7,11,11,11,11,11,
1,1,1,1,1,6,1,1,1,1,6,6,6,1,1,1,1,1,11,11,11,11,
1,1,1,1,1,1,1,1,1,7,6,6,6,6,1,1,1,1,1,1,11,11,
11,11,11,11,1,1,1,6,6,6,7,6,1,1,1,2,1,1,1,1,1,1,
11,11,11,11,11,11,1,2,7,6,6,6,1,1,1,1,1,1,1,1,1,1,
11,11,11,11,11,11,11,11,11,7,6,1,1,6,1,1,1,1,1,1,1,1,
11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,6,1,1,1,1,1,1,
1,1,1,1,11,11,11,11,11,11,11,11,11,11,1,1,1,1,2,1,1,1,
1,1,1,1,1,1,1,1,1,11,11,11,11,11,11,11,1,1,1,1,1,1,
1,7,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,11,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,7,1,6,6,1,1,1,1,1,1,1,7,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,
1,1,2,1,1,1,1,1,1,1,1,1,6,7,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,
1,1,1,1,1,1,7,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,6,6,6,1,1,6,6,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,7,1,1,1,1,1,9,1,1,1,1,1,2,1,
1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,
